source,activity,timestamp,status,resource
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton20,hidden,2021-08-12T04:20:45,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton22,check-in,2021-08-18T04:21:42,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton21,hidden,2021-08-19T04:20:52,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton23,check-in,2021-08-25T04:21:09,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton22,hidden,2021-08-26T04:21:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton24,check-in,2021-09-01T04:21:44,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton23,hidden,2021-09-02T04:21:34,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton25,check-in,2021-09-08T04:21:11,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton24,hidden,2021-09-09T04:21:25,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton26,check-in,2021-09-15T04:21:22,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton25,hidden,2021-09-16T04:20:06,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton27,check-in,2021-09-22T04:20:53,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton26,hidden,2021-09-23T04:21:53,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton28,check-in,2021-09-29T04:21:17,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton27,hidden,2021-09-30T04:20:55,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton28,hidden,2021-10-07T04:21:11,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton29,check-in,2021-10-07T04:21:11,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton30,check-in,2021-10-13T04:21:34,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton29,hidden,2021-10-14T04:21:04,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton31,check-in,2021-10-20T04:21:35,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton30,hidden,2021-10-21T04:21:49,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton32,check-in,2021-10-27T04:21:30,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton31,hidden,2021-10-28T04:21:15,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton33,check-in,2021-11-03T04:21:35,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton32,hidden,2021-11-04T04:21:46,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton34,check-in,2021-11-10T04:23:18,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton33,hidden,2021-11-11T04:21:45,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton35,check-in,2021-11-17T04:21:57,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton34,hidden,2021-11-18T04:21:59,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton36,check-in,2021-11-24T04:21:38,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton35,hidden,2021-11-25T04:22:18,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton37,check-in,2021-12-01T04:22:48,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton36,hidden,2021-12-02T04:22:05,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton38,check-in,2021-12-21T04:23:11,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton39,check-in,2021-12-22T04:22:55,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton38,hidden,2021-12-23T04:23:06,complete,BfS
