2020-06-18T03:17:32Z;I;. Deaths per week by 5-year age group, sex and canton (CSV file) vom 2020-06-10T09:52:16.283821
2020-06-18T03:17:32Z;I;..API in ../data/api.csv geschrieben !
2020-06-18T03:17:32Z;I;URL download lesen ...
2020-06-18T03:17:32Z;W;..../data/new_todesfaelle_woche.csv wird überschrieben !
2020-06-18T03:17:34Z;I;..CSV in ../data/new_todesfaelle_woche.csv geschrieben !
2020-06-18T03:17:34Z;I;<Last_pull> badge created
2020-06-18T03:17:34Z;I;END Download
2020-06-18T03:17:34Z;I;START Validierung
2020-06-18T03:17:34Z;I;todesfaelle_woche.csv gelesen 14959 Zeilen und 9 Spalten
2020-06-18T03:17:34Z;I;new_todesfaelle_woche.csv gelesen 14959 Zeilen und 9 Spalten
2020-06-18T03:17:34Z;E;Daten identisch
2020-06-18T03:17:34Z;I;END Validierung
2020-06-23T03:17:45Z;I;START Download
2020-06-23T03:17:46Z;I;Rest API lesen ...
2020-06-23T03:17:47Z;I;. Deaths per week by 5-year age group, sex and canton (CSV file) vom 2020-06-18T11:30:55.468596
2020-06-23T03:17:47Z;I;..API in ../data/api.csv geschrieben !
2020-06-23T03:17:47Z;I;URL download lesen ...
2020-06-23T03:17:47Z;W;..../data/new_todesfaelle_woche.csv wird überschrieben !
2020-06-23T03:17:48Z;I;..CSV in ../data/new_todesfaelle_woche.csv geschrieben !
2020-06-23T03:17:48Z;I;<Last_pull> badge created
2020-06-23T03:17:48Z;I;END Download
2020-06-23T03:17:48Z;I;START Validierung
2020-06-23T03:17:48Z;I;todesfaelle_woche.csv gelesen 14959 Zeilen und 9 Spalten
2020-06-23T03:17:48Z;I;new_todesfaelle_woche.csv gelesen 15614 Zeilen und 9 Spalten
2020-06-23T03:17:48Z;I;Referenztabellen erstellt ...
2020-06-23T03:17:48Z;I;Validatortabellen erstellt ...
2020-06-23T03:17:48Z;I;..2020 mit 1142 Todesfälle
2020-06-23T03:17:48Z;W;..2020-W08 mit -1 Todesfälle
2020-06-23T03:17:48Z;I;..2020-W16 mit 5 Todesfälle
2020-06-23T03:17:48Z;I;..2020-W17 mit 7 Todesfälle
2020-06-23T03:17:48Z;I;..2020-W18 mit 6 Todesfälle
2020-06-23T03:17:48Z;I;..2020-W19 mit 6 Todesfälle
2020-06-23T03:17:48Z;I;..2020-W20 mit 12 Todesfälle
2020-06-23T03:17:48Z;I;..2020-W21 mit 21 Todesfälle
2020-06-23T03:17:48Z;I;..2020-W22 mit 58 Todesfälle
2020-06-23T03:17:48Z;I;..2020-W23 mit 1002 Todesfälle
2020-06-23T03:17:48Z;I;Differenzen in 434 Zeilen mit 1143 Todesfällen ..
2020-06-23T03:17:48Z;I;..in ../data/diff.csv geschrieben !
2020-06-23T03:17:48Z;I;../data/todesfaelle_woche.csv umbenannt in ../data/arc_todesfaelle_woche.csv
2020-06-23T03:17:48Z;I;../data/new_todesfaelle_woche.csv umbenannt in ../data/todesfaelle_woche.csv
2020-06-23T03:17:48Z;I;<Valdidate> badge created
2020-06-23T03:17:48Z;I;END Validierung
2020-06-23T03:17:48Z;I;START API
2020-06-23T03:17:48Z;I;restful auf disc
2020-06-23T03:17:48Z;I;badge auf disc
2020-06-23T03:17:48Z;I;END API
2020-06-24T03:17:29Z;I;START Download
2020-06-24T03:17:30Z;I;Rest API lesen ...
2020-06-24T03:17:31Z;I;. Deaths per week by 5-year age group, sex and canton (CSV file) vom 2020-06-18T11:30:55.468596
2020-06-24T03:17:31Z;I;..API in ../data/api.csv geschrieben !
2020-06-24T03:17:31Z;I;URL download lesen ...
2020-06-24T03:17:33Z;I;..CSV in ../data/new_todesfaelle_woche.csv geschrieben !
2020-06-24T03:17:33Z;I;<Last_pull> badge created
2020-06-24T03:17:33Z;I;END Download
2020-06-24T03:17:33Z;I;START Validierung
2020-06-24T03:17:33Z;I;todesfaelle_woche.csv gelesen 15614 Zeilen und 9 Spalten
2020-06-24T03:17:34Z;I;new_todesfaelle_woche.csv gelesen 15614 Zeilen und 9 Spalten
2020-06-24T03:17:34Z;E;Daten identisch
2020-06-24T03:17:34Z;I;END Validierung
2020-06-25T03:17:39Z;I;START Download
2020-06-25T03:17:41Z;I;Rest API lesen ...
2020-06-25T03:17:42Z;I;. Deaths per week by 5-year age group, sex and canton (CSV file) vom 2020-06-25T02:14:04.642067
2020-06-25T03:17:42Z;I;..API in ../data/api.csv geschrieben !
2020-06-25T03:17:42Z;I;URL download lesen ...
2020-06-25T03:17:42Z;W;..../data/new_todesfaelle_woche.csv wird überschrieben !
2020-06-25T03:17:44Z;I;..CSV in ../data/new_todesfaelle_woche.csv geschrieben !
2020-06-25T03:17:44Z;I;<Last_pull> badge created
2020-06-25T03:17:44Z;I;END Download
2020-06-25T03:17:44Z;I;START Validierung
2020-06-25T03:17:44Z;I;todesfaelle_woche.csv gelesen 15614 Zeilen und 9 Spalten
2020-06-25T03:17:44Z;I;new_todesfaelle_woche.csv gelesen 16282 Zeilen und 9 Spalten
2020-06-25T03:17:44Z;I;Referenztabellen erstellt ...
2020-06-25T03:17:44Z;I;Validatortabellen erstellt ...
2020-06-25T03:17:44Z;I;..2020 mit 1166 Todesfälle
2020-06-25T03:17:44Z;I;..2020-W17 mit 2 Todesfälle
2020-06-25T03:17:44Z;I;..2020-W18 mit 2 Todesfälle
2020-06-25T03:17:44Z;I;..2020-W19 mit 6 Todesfälle
2020-06-25T03:17:44Z;I;..2020-W20 mit 9 Todesfälle
2020-06-25T03:17:44Z;I;..2020-W21 mit 10 Todesfälle
2020-06-25T03:17:44Z;I;..2020-W22 mit 32 Todesfälle
2020-06-25T03:17:44Z;I;..2020-W23 mit 85 Todesfälle
2020-06-25T03:17:44Z;I;..2020-W24 mit 990 Todesfälle
2020-06-25T03:17:44Z;I;Differenzen in 445 Zeilen mit 1166 Todesfällen ..
2020-06-25T03:17:44Z;I;..in ../data/diff.csv geschrieben !
2020-06-25T03:17:44Z;I;../data/todesfaelle_woche.csv umbenannt in ../data/arc_todesfaelle_woche.csv
2020-06-25T03:17:44Z;I;../data/new_todesfaelle_woche.csv umbenannt in ../data/todesfaelle_woche.csv
2020-06-25T03:17:44Z;I;<Valdidate> badge created
2020-06-25T03:17:44Z;I;END Validierung
2020-06-25T03:17:44Z;I;START API
2020-06-25T03:17:44Z;I;restful auf disc
2020-06-25T03:17:44Z;I;badge auf disc
2020-06-25T03:17:44Z;I;END API
2020-06-26T03:17:43Z;I;START Download
2020-06-26T03:17:44Z;I;Rest API lesen ...
2020-06-26T03:17:45Z;I;. Deaths per week by 5-year age group, sex and canton (CSV file) vom 2020-06-25T02:14:04.642067
2020-06-26T03:17:45Z;I;..API in ../data/api.csv geschrieben !
2020-06-26T03:17:45Z;I;URL download lesen ...
2020-06-26T03:17:47Z;I;..CSV in ../data/new_todesfaelle_woche.csv geschrieben !
2020-06-26T03:17:47Z;I;<Last_pull> badge created
2020-06-26T03:17:47Z;I;END Download
2020-06-26T03:17:47Z;I;START Validierung
2020-06-26T03:17:47Z;I;todesfaelle_woche.csv gelesen 16282 Zeilen und 9 Spalten
2020-06-26T03:17:47Z;I;new_todesfaelle_woche.csv gelesen 16282 Zeilen und 9 Spalten
2020-06-26T03:17:47Z;E;Daten identisch
2020-06-26T03:17:47Z;I;END Validierung
2020-06-27T03:17:29Z;I;START Download
2020-06-27T03:17:30Z;I;Rest API lesen ...
2020-06-27T03:17:31Z;I;. Deaths per week by 5-year age group, sex and canton (CSV file) vom 2020-06-25T02:14:04.642067
2020-06-27T03:17:31Z;I;..API in ../data/api.csv geschrieben !
2020-06-27T03:17:31Z;I;URL download lesen ...
2020-06-27T03:17:31Z;W;..../data/new_todesfaelle_woche.csv wird überschrieben !
2020-06-27T03:17:33Z;I;..CSV in ../data/new_todesfaelle_woche.csv geschrieben !
2020-06-27T03:17:33Z;I;<Last_pull> badge created
2020-06-27T03:17:33Z;I;END Download
2020-06-27T03:17:33Z;I;START Validierung
2020-06-27T03:17:33Z;I;todesfaelle_woche.csv gelesen 16282 Zeilen und 9 Spalten
2020-06-27T03:17:33Z;I;new_todesfaelle_woche.csv gelesen 16282 Zeilen und 9 Spalten
2020-06-27T03:17:33Z;E;Daten identisch
2020-06-27T03:17:33Z;I;END Validierung
2020-06-30T03:17:42Z;I;START Download
2020-06-30T03:17:43Z;I;Opendata spec lesen ...
2020-06-30T03:17:48Z;I;. Deaths per week by 5-year age group, sex and canton (CSV file) vom 2020-06-25T02:14:04.642067
2020-06-30T03:17:48Z;I;..API in api.csv geschrieben !
2020-06-30T03:17:48Z;I;URL download lesen ...
2020-06-30T03:17:48Z;W;..new_todesfaelle_woche.csv wird überschrieben !
2020-06-30T03:17:50Z;I;..CSV in new_todesfaelle_woche.csv geschrieben !
2020-06-30T03:17:50Z;I;<Last_pull> badge created
2020-06-30T03:17:50Z;I;END Download
2020-06-30T03:17:50Z;I;START Validierung
2020-06-30T03:17:50Z;I;todesfaelle_woche.csv gelesen 16282 Zeilen und 9 Spalten
2020-06-30T03:17:50Z;I;new_todesfaelle_woche.csv gelesen 16282 Zeilen und 9 Spalten
2020-06-30T03:17:50Z;E;Daten identisch
2020-06-30T03:17:50Z;I;END Validierung
